modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=25 SL=1.16964000 TP=1.18831000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=24 SL=1.16964000 TP=1.18843000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=21 SL=1.16964000 TP=1.18794000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=20 SL=1.16964000 TP=1.18843000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=19 SL=1.16964000 TP=1.18844000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=18 SL=1.16964000 TP=1.18884000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=17 SL=1.16964000 TP=1.18892000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=14 SL=1.16964000 TP=1.18845000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=13 SL=1.16964000 TP=1.18904000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=12 SL=1.16964000 TP=1.18892000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=54 SL=1.18964000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=54 SL=1.18964000 TP=1.16964000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=55 SL=1.18953000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=55 SL=1.18953000 TP=1.16953000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=35 SL=1.16995000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=23 SL=1.16995000 TP=1.18806000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=22 SL=1.16995000 TP=1.18818000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=16 SL=1.16995000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=15 SL=1.16995000 TP=1.18869000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=11 SL=1.16995000 TP=1.18940000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=10 SL=1.16995000 TP=1.18928000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=56 SL=1.18995000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=56 SL=1.18995000 TP=1.16995000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=57 SL=1.18974000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=57 SL=1.18974000 TP=1.16974000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=58 SL=1.18985000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=58 SL=1.18985000 TP=1.16985000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=59 SL=1.18953000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=59 SL=1.18953000 TP=1.16953000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=60 SL=1.18980000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=60 SL=1.18980000 TP=1.16980000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=61 SL=1.18996000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=61 SL=1.18996000 TP=1.16996000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=9 SL=1.17010000 TP=1.18951000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=62 SL=1.19010000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=62 SL=1.19010000 TP=1.17010000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=35 SL=1.17055000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=25 SL=1.17055000 TP=1.18831000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=24 SL=1.17055000 TP=1.18843000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=23 SL=1.17055000 TP=1.18806000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=22 SL=1.17055000 TP=1.18818000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=21 SL=1.17055000 TP=1.18794000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=20 SL=1.17055000 TP=1.18843000
